x,cortante,momento,pendiente,deflexion
1.3194328607172643,88446.214285714,154271.0116763966,0.06549838413961859,-0.4189932101110126
1.3252710592160133,88194.214285714,154786.64261884865,0.06603539007215829,-0.42059545290280326
1.3311092577147623,87942.214285714,155300.802335279,0.06657418532680476,-0.422194555324156
1.3369474562135113,87690.214285714,155813.49082568768,0.06711476479087372,-0.42379050694357745
1.34278565471226,87438.214285714,156324.70809007465,0.0676571233516809,-0.42538329735942343
1.348623853211009,87186.214285714,156834.45412843995,0.0682012558965421,-0.42697291619989836
1.354462051709758,86934.214285714,157342.72894078356,0.06874715731277303,-0.4285593531230557
1.360300250208507,86682.214285714,157849.5325271055,0.06929482248768944,-0.4301425978167977
1.366138448707256,86430.214285714,158354.86488740577,0.06984424630860707,-0.4317226399988755
1.3719766472060049,86178.214285714,158858.72602168433,0.07039542366284164,-0.43329946941688896
1.3778148457047539,85926.214285714,159361.1159299412,0.07094834943770895,-0.4348730758482871
1.3836530442035029,85674.214285714,159862.03461217642,0.0715030185205247,-0.43644344910036753
1.3894912427022519,85422.214285714,160361.48206838992,0.07205942579860464,-0.4380105790102769
1.3953294412010009,85170.214285714,160859.45829858174,0.07261756615926451,-0.43957445544501056
1.4011676396997497,84918.214285714,161355.96330275186,0.07317743448982005,-0.4411350683014129
1.4070058381984987,84666.214285714,161850.99708090033,0.07373902567758703,-0.44269240750617717
1.4128440366972477,84414.214285714,162344.5596330271,0.07430233460988118,-0.4442464630158453
1.4186822351959967,84162.214285714,162836.65095913218,0.07486735617401824,-0.4457972248168084
1.4245204336947455,83910.214285714,163327.27105921556,0.07543408525731393,-0.4473446829253059
1.4303586321934945,83658.214285714,163816.41993327727,0.07600251674708404,-0.44888882738742675
1.4361968306922435,83406.214285714,164304.0975813173,0.07657264553064429,-0.4504296482791083
1.4420350291909925,83154.214285714,164790.30400333565,0.07714446649531043,-0.451967135706137
1.4478732276897415,82902.214285714,165275.03919933233,0.0777179745283982,-0.45350127980414806
1.4537114261884903,82650.214285714,165758.3031693073,0.0782931645172233,-0.4550320707386256
1.4595496246872393,82398.214285714,166240.0959132606,0.07887003134910156,-0.4565594987049026
1.4653878231859883,82146.214285714,166720.4174311922,0.07944856991134867,-0.4580835539281609
1.4712260216847373,81894.214285714,167199.26772310215,0.08002877509128038,-0.45960422666343126
1.4770642201834863,81642.214285714,167676.6467889904,0.08061064177621244,-0.46112150719559303
1.482902418682235,81390.214285714,168152.55462885692,0.08119416485346055,-0.4626353858393748
1.488740617180984,81138.214285714,168626.9912427018,0.08177933921034053,-0.4641458529393539
